fct_name,fct_location,
Tabela Brasileira de Composição de Alimentos - TBCA version 7.0,Brazil,
Tabelas de Composição Nutricional dos Alimentos Consumidos no Brasil,Brazil,
Tabelle di composizione degli alimenti - CREA,Italy,
Tabla de composición de alimentos colombianos,Colombia,
Tabla de Composición de Alimentos por país,LATINFOODS,
Tabla de Composición de los Alimentos de Centroamérica,INCAP,
Tabla de Composición química de alimentos chilenos,Chile,
TACO - Tabela Brasileira de Composição de Alimentos 4a. Edição revisada e ampliada,Brazil,
The Chinese University of Hong Kong - Food Research Centre - Food Composition Database,China - People's Republic of China,
Traditional Animal Foods of Indigenous Peoples of Northern North America,Canada,
Universidad de Chile - INTA - Tabla de Composición de Alimentos 2018,Chile,
"University College Cork, Department of Food and Nutritional Sciences: Irish Food Composition Database",Ireland,
University of Dhaka - Food Composition Table for Bangladesh (printed table - pdf file),Bangladesh,
Latvian Food Composition Database,Latvia,
"Suciliene S, Abaravicius A, Kadziauskiene K, Barzda A, Bartkeviciute R: Maisto produktu? Respublikinis mitybos centras, 2002 (printed table 324 pp. In Lithuanian and English, 2002) - no online information.",Lithuania,
"MAFOODS. 2019. Malawian Food Composition Table. 1st Edition. Averalda van Graan, Joelaine Chetty, Malory Jumat, Sitilitha Masangwi, Agnes Mwangwela, Felix Pensulo Phiri, Lynne M. Ausman, Shibani Ghosh, Elizabeth Marino-Costello (Eds). Lilongwe, Malawi.",Malawi,
Malaysian Food Composition Database (MyFCD),Malaysia,
"Nutritional composition of fast food traditional dishes and processed foods available in Morocco, 2018 (in EuroFIR FoodEXplorer)",Morocco,
"University of Helsinki, Department of Food and Environmental Sciences - Food Composition Table for Mozambique",Mozambique,
National Nutrition Program - Food Composition Tables for Nepal 2012.,Nepal,
Dutch Food Composition Database (NEVO online) - version 2019,Netherlands,
,,
The New Zealand Institute of Plant & Food Research Limited - New Zealand Food Composition Database (NZFCDB),New Zealand,
The New Zealand Institute of Plant & Food Research Limited - New Zealand FOODfiles 2016 version 01,New Zealand,
Food Standards - New Zealand Food Composition Data for Nutrition Information Panel (NZFCD-NIP),New Zealand,
The New Zealand Institute of Plant & Food Research Limited - The Concise New Zealand Food Composition Tables,New Zealand,
"Peter Vlieg: Proximate Composition of New Zealand Marine Finfish and Shellfish, New Zealand Institute for Crop & Food Research, 1988",New Zealand,
,,
Nigeria Food Database,Nigeria,
,,
NORFOODS 2000,NORFOODS,
,,
"The Norwegian Food Composition Database 2018. Norwegian Food Safety Authority, The Norwegian Directorate of Health and University of Oslo.",Norway,
National Institute of Nutrition and Seafood Research - NIFES Seafood Data,Norway,
,,
"Pacific Islands Food Composition Tables, Second Edition, FAO, Rome, 2004. [Full text, html]",Pacific Islands,
"Pacific Islands Food Composition Tables, Second Edition, FAO, Rome, 2004. [Full text, pdf]",Pacific Islands,
,,
"Pakistan Food Composition File version 1, 2018 (in EuroFIR FoodEXplorer)",Pakistan,
,,
Tabla de Composición de Alimentos Industrializados,Peru,
Tablas Peruanas de Composición de Alimentos,Peru,
,,
Philippine Food Composition Tables (you need to register at http://i.fnri.dost.gov.ph/ first),Philippines,
,,
National Food and Nutrition Institute - Polish Food Composition Database,Poland,
,,
INSA - Tabela da Composição de Alimentos (PortFIR),Portugal,
,,
Tabla de composición de alimentos de uso corriente en Puerto Rico,Puerto Rico,
,,
Serbian Food and Nutrition Database,Serbia,
,,
Health Promotion Board - Nutrient Composition of Foods,Singapore,
,,
Slovak Food Composition Data Bank (SFCDB),Slovak Republic,
,,
"Assessment of food composition data in five SEA Partner Countries (Cambodia, Indonesia, Laos, Thailand, Vietnam).",SMILING project,
,,
SAFOODS - South African Food Data System,South Africa,
"South African dataset (Schönfeldt & Pretorius, 2018) (in EuroFIR FoodEXplorer)",South Africa,
,,
Base de Datos Española de Composición de Alimentos - BEDCA,Spain,
Universidad de Granada - Tabla de Composición de Alimentos,Spain,
Olga Moreiras - Tablas de Composición de Alimentos,Spain,
CESNID - Tablas de Composición de Alimentos de CESNID,Spain,
A. Jimenez Cruz et al - Tabla de Composición de Alimentos - Novartis,Spain,
,,
BFN Project - Food Composition Tables,Sri Lanka,
,,
Livsmedelsdatabas (Swedish Food Composition Database),Sweden,
,,
Swiss Federal Office of Public Health FOPH - Swiss Food Composition Database,Switzerland,
,,
Tanzania Food Composition Tables,Tanzania,
,,
"Mahidol University, Institute of Nutrition - Thai Food Composition Database (Thai FCD 2015)",Thailand,
,,
