"fct_ref","fct_citation","fct_location","fct_year","fct_desc","count","study_id","fct_id","ISO3","ISO2","NAME_ISO","NAME_FAO","NAME_LOCAL","SOVEREIGN","UNREGION1","UNREGION2","continent","fct_source"
"Tanzania FCT, 1988",NA,"Tanzania",1988,"The Composition of Foods Commonly Eaten in East Africa - CE West, F Pepping, and CR Temalilawa, eds. Department of Human Nutrition, Wageningen Agricultural University, PO Box 8129, 6700 EV Wageningen, The Netherlands; Tanzania Food and Nutrition Centre, Box 977, Dar es Salaam, Tanzania 1988 (English)",1,NA,"I0042","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa","infoods"
"Watts et al., 2019","Watts, M.J., Middleton, D.R.S., Marriott, A.L., Humphrey, O.S., Hamilton, E.M., Gardner, A., Smith, M., McCormack, V.A., Menya, D., Munishi, M.O., Mmbaga, B.T., Osano, O., 2019. Source apportionment of micronutrients in the diets of Kilimanjaro,Tanzania and Counties of Western Kenya. Scientific reports 9, 14447–14447. https://doi.org/10.1038/s41598-019-51075-2","Tanzania, Kilimanjaro",2019,"Tanzania, Kilimanjaro NCT, 2019; Kenya, Western NCT, 2019",1,"S0234","SF066","TZA","TZ","TANZANIA, UNITED REPUBLIC OF","Tanzania, United Rep of","Tanzania","Tanzania","Eastern Africa","Africa","Africa",NA
"Perisse and Le Berre, 1954","NA","Togo",1957,"Togo FCT, 1957",1,"S0009","SF048","TGO","TG","TOGO","Togo","Togo|Republique Togolaise","Togo","Western Africa","Africa","Africa",NA
"Togo FCT, 1957",NA,"Togo",1957,"Table de Composition des Aliments du Togo - J Perissè, S Le Berre, Office de la Recherche Scientifique et Technique Outre-Mer, Yaound - Ann Nutr Alim, Vol XI, pp 70-891957 19 pp (French)",1,NA,"I0045","TGO","TG","TOGO","Togo","Togo|Republique Togolaise","Togo","Western Africa","Africa","Africa","infoods"
"Uganda FCT, 2012",NA,"Uganda, Central Eastern",2012,"A Food Composition Table for Central and Eastern Uganda (2012); HarvestPlus - A Food Composition Table for Central and Eastern Uganda",2,NA,"I0047; L0010","UGA","UG","UGANDA","Uganda","Uganda","Uganda","Eastern Africa","Africa","Africa","infoods; langual"
"Hotz et al., 2012","Hotz C, Lubowa A, Sison C, Moursi M, Loechl C. (2012) A Food Composition Table for Central and Eastern Uganda. HarvestPlus Technical Monograph 9.","Uganda, Central Eastern",2012,"HarvestPlus Uganda FCT, 2012",5,"S0182;S0192;S0219;S0217;S0237","SF018","UGA","UG","UGANDA","Uganda","Uganda","Uganda","Eastern Africa","Africa","Africa",NA
"Scarpa et al., 2021","Scarpa, G., Berrang-Ford, L., Bawajeeh, A.O., Twesigomwe, S., Kakwangire, P., Peters, R., Beer, S., Williams, G., Zavaleta-Cortijo, C., Namanya, D.B., Lwasa, S., Nowembabazi, E., Kesande, C., Rippin, H., IHACC Team, Cade, J.E., 2021. Developing an online food composition database for an Indigenous population in south-western Uganda. Public Health Nutr. 24, 2455–2464. https://doi.org/10.1017/S1368980021001397","Uganda, South Western",2021,"South-Western Uganda FCT, 2021",2,"S0251;S0252","SF052","UGA","UG","UGANDA","Uganda","Uganda","Uganda","Eastern Africa","Africa","Africa",NA
"Stadlmayr et al., 2010","Stadlmayr, B. et al. Composition of Selected Foods from West Africa. (Food and Agriculture Organization, Rome, 2010).","Western Africa",2010,"West Africa FCT, 2010",2,"S0159;S0154","SF054",NA,NA,NA,NA,NA,NA,"Western Africa","Africa","Africa",NA
"Stadlmayr et al., 2012","Stadlmayr, Barbara,Ruth Charrondiere,U.,Enujiugha,Victor N.,Bayili,Romaric G., Fagbohoun, Etel G.,Samb,Babacar,et al.(2012). West African food composition table/table de composition des aliments d’Afrique de I’Ouest . Rome,Italy:Food and Agriculture Organization of the United Nations","Western Africa",2012,"West Africa FCT, 2012",9,"S0150;S0154;S0170;S0192;S0207;S0221;S0226;S0233;S0250","SF055",NA,NA,NA,NA,NA,NA,"Western Africa","Africa","Africa",NA
"West Africa FCT, 2019",NA,"Western Africa",2019,"FAO/INFOODS Food Composition Table for Western Africa (2019) / Table de composition des aliments FAO/INFOODS pour l’Afrique de l’Ouest (2019) - User guide (PDF) / Datasheets (Excel); FAO/INFOODS Food Composition Table for Western Africa (2019) / Table de composition des aliments FAO/INFOODS pour l’Afrique de l’Ouest (2019) - User Guide (PDF); FAO/INFOODS Food Composition Table for Western Africa (2019) / Table de composition des aliments FAO/INFOODS pour l’Afrique de l’Ouest (2019) - MS Excel spreadsheet",3,NA,"I0005; L0011; L0012",NA,NA,NA,NA,NA,NA,"Western Africa","Africa","Africa","infoods; langual; langual"
"West Africa FCT, 1965",NA,"Western Africa",1965,"Aliments de l'Ouest Africain--Tables de Composition - J Toury, R Giorgi, JC Favier, JF Savina, Organisation de Coordination et de Coopération pour le lutte contre les grandes Endemies Office de Recherches sur l'Alimentation et la Nutrition Africaines (ORANA), Dakar, Senegal 1965 63 pp (French); Plantes alimentaires de l'Ouest africain--Etude botanique, chimique et biologique des végétaux alimentaires - FF Busson M Leconte, Marseille, France 1965 568 pp (French)",2,NA,"I0008; I0009",NA,NA,NA,NA,NA,NA,"Western Africa","Africa","Africa","infoods; infoods"
"West Africa FCT, 2010",NA,"Western Africa",2010,"Composition of Selected Foods from West Africa - FAO (2010): this food composition table was a beta-version and is now obsolete. It was superseded by the West African Food Composition Table / Table de composition des aliments d’Afrique de l’Ouest (2012) which should be used instead.; Composition of Selected Foods from West Africa - FAO, ECOWAS, WAHO, INFOODS and Bioversity International. FAO, 2010.",2,NA,"I0007; L0014",NA,NA,NA,NA,NA,NA,"Western Africa","Africa","Africa","infoods; langual"
"West Africa FCT, 2012",NA,"Western Africa",2012,"West African Food Composition Table / Table de composition des aliments d’Afrique de l’Ouest - (PDF version) (Excel Version) - FAO (2012): this food composition table has been updated. It was superseded by the FAO/INFOODS Food Composition Table for Western Africa (2019) / Table de composition des aliments FAO/INFOODS pour l’Afrique de l’Ouest (2019) which should be used instead.; West African Food Composition Table / Table de composition des aliments d’Afrique de l’Ouest - FAO, INFOODS, ECOWAS/WAHO and Bioversity International. FAO, 2012.",2,NA,"I0006; L0013",NA,NA,NA,NA,NA,NA,"Western Africa","Africa","Africa","infoods; langual"
"NA","NA","Zambia",NA,"Zambia FCT, na",2,"S0093;S0224","SF039","ZMB","ZM","ZAMBIA","Zambia","Zambia","Zambia","Eastern Africa","Africa","Africa",NA
"Nyirenda, et al., 2009","Nyirenda DB, Musukwa M, Mugode RH, et al. Zambia Food Composition Tables, 4th Edition. Lusaka, Zambia: National Food and Nutrition Commission; 2009. http://nfnc.org.zm/download/file/fid/537. Accessed January 26, 2020.","Zambia",2009,"Zambia FCT, 2009",1,"S0250","SF044","ZMB","ZM","ZAMBIA","Zambia","Zambia","Zambia","Eastern Africa","Africa","Africa",NA
"Zambia FCT by HarvestPlus","(unpublished)","Zambia",NA,"Zambia FCT, na",2,"S0182;S0219","SF072","ZMB","ZM","ZAMBIA","Zambia","Zambia","Zambia","Eastern Africa","Africa","Africa",NA
"Zambia FCT, 2007","National Food and Nutrition Commission. Food Composition Tables. 3rd ed. Lusaka, Zambia: National Food and Nutrition Commission; 2007.","Zambia",2007,"Zambia FCT, 2007",5,"S0164;S0165;S0156;S0182;S0219","SF073","ZMB","ZM","ZAMBIA","Zambia","Zambia","Zambia","Eastern Africa","Africa","Africa",NA
"Zambia FCT, 1971",NA,"Zambia",1971,"Tables of the Values of Zambian Foodstuffs - F Mayala, Natural Resources Development College - The Public Relations Unit of the National Food and Nutrition Commission, Lusaka 21 pp (English) (1971)",1,NA,"I0048","ZMB","ZM","ZAMBIA","Zambia","Zambia","Zambia","Eastern Africa","Africa","Africa","infoods"
"Chitsiku, 1989","Chitsiku, I. C. (1989) Nutritive Value of Foods of Zimbabwe. Zambezia vol. 16, no. 1. (pp. 67-98.) UZ, Mt. Pleasant, Harare: UZ Publications","Zimbabwe",1968,"Zimbabwe FCT, 1968",3,"S0045;S0093;S0192","SF008","ZWE","ZW","ZIMBABWE","Zimbabwe","Zimbabwe","Zimbabwe","Eastern Africa","Africa","Africa",NA
"Chitsiku, 2000","Chitsiku IC: Nutritive Value of Foods in Zimbabwe. University of Zimbabwe; 2000.","Zimbabwe",2000,"Zimbabwe FCT, 2000",1,"S0095","SF009","ZWE","ZW","ZIMBABWE","Zimbabwe","Zimbabwe","Zimbabwe","Eastern Africa","Africa","Africa",NA
"Zimbabwe FCT, 1989",NA,"Zimbabwe",1989,"Nutritive Value of Foods of Zimbabwe Chitsiku, I.C. in Zambezia 16 (i):67-97 (English) (1989)",1,NA,"I0049","ZWE","ZW","ZIMBABWE","Zimbabwe","Zimbabwe","Zimbabwe","Eastern Africa","Africa","Africa","infoods"
